IBP,MW,T,P,Density
192.4,539.2,190,2.01,907.6
192.4,539.2,174.6,2.01,917.3
192.4,539.2,150.3,2.02,932.7
192.4,539.2,125,1.99,947.9
192.4,539.2,100.6,2.02,962.6
192.4,539.2,89.8,2,969.1
192.4,539.2,79.9,2.01,974.9
192.4,539.2,69.9,2.01,980.9
192.4,539.2,60.1,2,986.7
192.4,539.2,49.9,2.01,992.9
192.4,539.2,23,1.99,1009.3
192.4,539.2,190,4,909.5
192.4,539.2,174.6,4.06,918.6
192.4,539.2,150.3,4.01,934.3
192.4,539.2,125,4,949.4
192.4,539.2,100.6,4.06,964
192.4,539.2,89.8,3.99,970.3
192.4,539.2,79.9,3.99,976.1
192.4,539.2,69.9,4,982
192.4,539.2,60.1,4.01,987.8
192.4,539.2,49.9,4,994
192.4,539.2,23,4.02,1010.1
192.4,539.2,190,6,911.5
192.4,539.2,174.6,6.01,920.8
192.4,539.2,150.3,5.98,935.9
192.4,539.2,125,6,950.8
192.4,539.2,100.6,6.02,965.3
192.4,539.2,89.8,6.01,971.6
192.4,539.2,79.9,5.99,977.2
192.4,539.2,69.9,6.01,983.2
192.4,539.2,60.1,6.01,989
192.4,539.2,49.9,6.01,995
192.4,539.2,23,6,1011
192.4,539.2,190,8,913.3
192.4,539.2,174.6,8,922.5
192.4,539.2,150.3,8.02,937.5
192.4,539.2,125,8.01,952.3
192.4,539.2,100.6,8.02,966.6
192.4,539.2,89.8,8,972.8
192.4,539.2,79.9,8.01,978.5
192.4,539.2,69.9,8,984.4
192.4,539.2,60.1,8.01,990.1
192.4,539.2,49.9,8.01,996.1
192.4,539.2,23,8,1012
192.4,539.2,190,10.01,915.2
192.4,539.2,174.6,10.01,924.1
192.4,539.2,150.3,10,939
192.4,539.2,125,10.01,953.7
192.4,539.2,100.6,10.01,967.8
192.4,539.2,89.8,10,974.1
192.4,539.2,79.9,9.99,979.6
192.4,539.2,69.9,10.01,985.5
192.4,539.2,60.1,10.01,991.3
192.4,539.2,49.9,10,997.2
192.4,539.2,23,10.01,1012.9
200.3,512.5,170,1.03,916.2
200.3,512.5,160,1,922.4
200.3,512.5,150,1.03,928
200.3,512.5,140,1.06,933.5
200.3,512.5,130,1.08,939.1
