IBP,MW,T,P,Viscosity
192.4,539.2,190.4,2.01,11.8
192.4,539.2,175.5,2.01,16.2
192.4,539.2,151.6,2.02,32.2
192.4,539.2,127.1,1.99,72.8
192.4,539.2,102.9,2.01,222
192.4,539.2,103.4,2.02,223
192.4,539.2,92.7,2,372
192.4,539.2,83,2.01,730
192.4,539.2,72.4,2.01,2440
192.4,539.2,62.8,2,5560
192.4,539.2,52.7,2.01,14640
192.4,539.2,190.4,4,12.2
192.4,539.2,175.5,4.06,16.8
192.4,539.2,151.6,4.01,33.5
192.4,539.2,127.1,4,76.5
192.4,539.2,102.9,4.06,234
192.4,539.2,103.4,4.07,237
192.4,539.2,92.7,3.99,396
192.4,539.2,83,3.99,786
192.4,539.2,72.4,4,2590
192.4,539.2,62.8,4.01,6150
192.4,539.2,52.7,4,15900
192.4,539.2,190.4,6,12.6
192.4,539.2,175.5,6.01,17.5
192.4,539.2,151.6,5.98,34.9
192.4,539.2,127.1,6,80.3
192.4,539.2,102.9,6.01,246
192.4,539.2,103.4,6.03,251
192.4,539.2,92.7,6.01,421
192.4,539.2,83,5.99,839
192.4,539.2,72.4,6.01,2760
192.4,539.2,62.8,6.01,6700
192.4,539.2,52.7,6.01,17100
192.4,539.2,190.4,8,13.1
192.4,539.2,175.5,8,18.2
192.4,539.2,151.6,8.02,36.4
192.4,539.2,127.1,8.01,84.5
192.4,539.2,102.9,8.01,260
192.4,539.2,103.4,8.02,265
192.4,539.2,92.7,8,447
192.4,539.2,83,8.01,894
192.4,539.2,72.4,8,3000
192.4,539.2,62.8,8.01,7150
192.4,539.2,52.7,8.01,18400
192.4,539.2,190.4,10.01,13.6
192.4,539.2,175.5,10.01,18.8
192.4,539.2,151.6,10,37.7
192.4,539.2,127.1,10.01,88.8
192.4,539.2,102.9,10.03,274
192.4,539.2,103.4,10,280
192.4,539.2,92.7,10,477
192.4,539.2,83,9.99,949
192.4,539.2,72.4,10.01,3220
192.4,539.2,62.8,10.01,7710
192.4,539.2,52.7,10,19700
200.3,512.5,170,1.03,17.4
200.3,512.5,160,1,22.3
200.3,512.5,150,1.03,29.4
200.3,512.5,140,1.06,39.9
200.3,512.5,130,1.08,55.6
200.3,512.5,120,1.09,80.3
200.3,512.5,110,1.09,125
200.3,512.5,100,1.06,211
200.3,512.5,90,0.96,435
200.3,512.5,80,0.91,960
200.3,512.5,70,0.91,2130
200.3,512.5,65,0.92,3230
200.3,512.5,60,0.92,5120
