IBP,MW,T,P,Viscosity,Vis
192.4,539.2,190.4,2.01,11.8,1.071882007
192.4,539.2,175.5,2.01,16.2,1.209515015
192.4,539.2,151.6,2.02,32.2,1.507855872
192.4,539.2,127.1,1.99,72.8,1.862131379
192.4,539.2,102.9,2.01,222,2.346352974
192.4,539.2,103.4,2.02,223,2.348304863
192.4,539.2,92.7,2,372,2.57054294
192.4,539.2,83,2.01,730,2.86332286
192.4,539.2,72.4,2.01,2440,3.387389826
192.4,539.2,62.8,2,5560,3.745074792
192.4,539.2,52.7,2.01,14640,4.165541077
192.4,539.2,190.4,4,12.2,1.086359831
192.4,539.2,175.5,4.06,16.8,1.225309282
192.4,539.2,151.6,4.01,33.5,1.525044807
192.4,539.2,127.1,4,76.5,1.883661435
192.4,539.2,102.9,4.06,234,2.369215857
192.4,539.2,103.4,4.07,237,2.374748346
192.4,539.2,92.7,3.99,396,2.597695186
192.4,539.2,83,3.99,786,2.895422546
192.4,539.2,72.4,4,2590,3.413299764
192.4,539.2,62.8,4.01,6150,3.788875116
192.4,539.2,52.7,4,15900,4.201397124
192.4,539.2,190.4,6,12.6,1.100370545
192.4,539.2,175.5,6.01,17.5,1.243038049
192.4,539.2,151.6,5.98,34.9,1.542825427
192.4,539.2,127.1,6,80.3,1.904715545
192.4,539.2,102.9,6.01,246,2.390935107
192.4,539.2,103.4,6.03,251,2.399673721
192.4,539.2,92.7,6.01,421,2.624282096
192.4,539.2,83,5.99,839,2.923761961
192.4,539.2,72.4,6.01,2760,3.440909082
192.4,539.2,62.8,6.01,6700,3.826074803
192.4,539.2,52.7,6.01,17100,4.23299611
192.4,539.2,190.4,8,13.1,1.117271296
192.4,539.2,175.5,8,18.2,1.260071388
192.4,539.2,151.6,8.02,36.4,1.561101384
192.4,539.2,127.1,8.01,84.5,1.926856709
192.4,539.2,102.9,8.01,260,2.414973348
192.4,539.2,103.4,8.02,265,2.423245874
192.4,539.2,92.7,8,447,2.650307523
192.4,539.2,83,8.01,894,2.951337519
192.4,539.2,72.4,8,3000,3.477121255
192.4,539.2,62.8,8.01,7150,3.854306042
192.4,539.2,52.7,8.01,18400,4.264817823
192.4,539.2,190.4,10.01,13.6,1.133538908
192.4,539.2,175.5,10.01,18.8,1.274157849
192.4,539.2,151.6,10,37.7,1.57634135
192.4,539.2,127.1,10.01,88.8,1.948412966
192.4,539.2,102.9,10.03,274,2.437750563
192.4,539.2,103.4,10,280,2.447158031
192.4,539.2,92.7,10,477,2.678518379
192.4,539.2,83,9.99,949,2.977266212
192.4,539.2,72.4,10.01,3220,3.507855872
192.4,539.2,62.8,10.01,7710,3.887054378
192.4,539.2,52.7,10,19700,4.294466226
200.3,512.5,170,1.03,17.4,1.240549248
200.3,512.5,160,1,22.3,1.348304863
200.3,512.5,150,1.03,29.4,1.46834733
200.3,512.5,140,1.06,39.9,1.600972896
200.3,512.5,130,1.08,55.6,1.745074792
200.3,512.5,120,1.09,80.3,1.904715545
200.3,512.5,110,1.09,125,2.096910013
200.3,512.5,100,1.06,211,2.324282455
200.3,512.5,90,0.96,435,2.638489257
200.3,512.5,80,0.91,960,2.982271233
200.3,512.5,70,0.91,2130,3.328379603
200.3,512.5,65,0.92,3230,3.509202522
200.3,512.5,60,0.92,5120,3.709269961
200.3,512.5,55,0.93,8300,3.919078092
200.3,512.5,50,0.93,13390,4.126780577
200.3,512.5,45.2,0.93,21700,4.336459734
200.3,512.5,178.9,3.5,14.8,1.170261715
200.3,512.5,170,3.37,18.1,1.257678575
200.3,512.5,160,3.35,23.4,1.369215857
200.3,512.5,150,3.39,30.8,1.488550717
200.3,512.5,140,3.41,42.1,1.624282096
200.3,512.5,130,3.43,58.7,1.768638101
200.3,512.5,120,3.44,85.5,1.931966115
200.3,512.5,110,3.42,135,2.130333768
200.3,512.5,100,3.42,230,2.361727836
200.3,512.5,90,3.36,525,2.720159303
200.3,512.5,80,3.33,1140,3.056904851
200.3,512.5,70,3.33,2500,3.397940009
200.3,512.5,65,3.34,3780,3.5774918
200.3,512.5,60,3.34,6060,3.782472624
200.3,512.5,55,3.34,9750,3.989004616
200.3,512.5,50,3.35,15800,4.198657087
200.3,512.5,47.1,3.36,20400,4.309630167
200.3,512.5,180,6.99,15.4,1.187520721
200.3,512.5,170,6.86,19.3,1.285557309
200.3,512.5,160,6.84,25,1.397940009
200.3,512.5,150,6.86,33.1,1.519827994
200.3,512.5,140,6.89,45.3,1.656098202
200.3,512.5,130,6.9,63.2,1.800717078
200.3,512.5,120,6.91,93.4,1.970346876
200.3,512.5,110,6.88,147,2.167317335
200.3,512.5,100,6.88,252,2.401400541
200.3,512.5,90,6.87,601,2.778874472
